samples,life_style,ecosystem,habitat,mean_si,richness,diversity
mgm4600378,host-associated,animal_host-associated,animal_feces,0.9287539268032021,2483,0.9794949874950415
mgm4600379,host-associated,animal_host-associated,animal_feces,0.9254470459460757,2469,0.9691600842435659
mgm4600380,host-associated,animal_host-associated,animal_feces,0.9273497692450767,2479,0.9674677223323065
mgm4600381,host-associated,animal_host-associated,animal_feces,0.9252435996076879,2474,0.976812355026164
mgm4600383,host-associated,animal_host-associated,animal_feces,0.9270077042218817,2469,0.9747521879981699
mgm4600386,host-associated,animal_host-associated,animal_feces,0.9249549581371026,2482,0.9764815157196592
mgm4600387,host-associated,animal_host-associated,animal_feces,0.9295423977686982,2491,0.9764297422039513
mgm4600388,host-associated,animal_host-associated,animal_feces,0.9296733783665935,2484,0.9726322697340648
mgm4600389,host-associated,animal_host-associated,animal_feces,0.9253718652774902,2471,0.9698055140837795
mgm4600390,host-associated,animal_host-associated,animal_feces,0.9276334056417133,2474,0.9757247540379098
mgm4600391,host-associated,animal_host-associated,animal_feces,0.9262946208269911,2478,0.9727848783111952
mgm4600392,host-associated,animal_host-associated,animal_feces,0.9271026124045484,2469,0.9606650082000272
mgm4600393,host-associated,animal_host-associated,animal_feces,0.9247065525635655,2377,0.91581943136824
mgm4600394,host-associated,animal_host-associated,animal_feces,0.9256313766914085,2397,0.9043877417886969
mgm4600395,host-associated,animal_host-associated,animal_feces,0.9277171962861352,2294,0.9064540974053055
mgm4600396,host-associated,animal_host-associated,animal_feces,0.927883108550593,2370,0.8961451335841374
mgm4600397,host-associated,animal_host-associated,animal_feces,0.9257814466527825,2391,0.8513796545170809
mgm4600398,host-associated,animal_host-associated,animal_feces,0.928760752265374,2377,0.8255172981421658
mgm4600399,host-associated,animal_host-associated,animal_feces,0.9249519478467848,2342,0.889049766738623
mgm4600401,host-associated,animal_host-associated,animal_feces,0.9252480471571563,2398,0.9193832861426805
mgm4600402,host-associated,animal_host-associated,animal_feces,0.9299633108285703,2407,0.8598142982943506
mgm4600403,host-associated,animal_host-associated,animal_feces,0.9257023144000126,2432,0.9854033047590527
mgm4600404,host-associated,animal_host-associated,animal_feces,0.9278303237343549,2474,0.9820488997513174
mgm4600406,host-associated,animal_host-associated,animal_feces,0.9257058563478836,2488,0.9839722112278868
mgm4600407,host-associated,animal_host-associated,animal_feces,0.9270309831076393,2365,0.9831376394706062
mgm4600408,host-associated,animal_host-associated,animal_feces,0.925334218594305,2485,0.9826622053264308
mgm4600409,host-associated,animal_host-associated,animal_feces,0.9298126831971179,2460,0.9875038295253168
mgm4600410,host-associated,animal_host-associated,animal_feces,0.9249953605050624,2502,0.9868021201464179
mgm4600411,host-associated,animal_host-associated,animal_feces,0.9287277702215153,2494,0.9813804629996784
mgm4600829,free-living,sediment,desert_sediment,0.870392159137554,2470,0.981981931911401
mgm4600830,free-living,sediment,desert_sediment,0.8815706978791281,2486,0.9825739036820256
mgm4600831,free-living,sediment,desert_sediment,0.9246567845785157,2342,0.9827532046267646
